Page path,Opposite language page path,Topic,Sub topic,Page title,Opposite language page title,Keywords
https://www.canada.ca/en/immigration-refugees-citizenship,https://www.canada.ca/fr/immigration-refugies-citoyennete.html,Theme,Landing page,"Immigration, Refugees and Citizenship Canada",,Mandate; Government services; Immigration; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/news,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles.html,News,Landing page,"Newsroom - Immigration, Refugees and Citizenship Canada",,"Media, News releases, Speeches, Photographs, Archives, Indexes"
https://www.canada.ca/en/immigration-refugees-citizenship/news/newsletter,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/bulletin.html,News,Landing page,Newsletter,Bulletin,
https://www.canada.ca/en/immigration-refugees-citizenship/news/notices,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/avis.html,News,Landing page,"Notices - Immigration, Refugees and Citizenship Canada",Avis,
https://www.canada.ca/en/immigration-refugees-citizenship/news/video,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/video.html,News,Landing page,"Videos - Immigration, Refugees and Citizenship Canada",Video,
https://www.canada.ca/en/immigration-refugees-citizenship/news/photos,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/photos.html,News,Landing page,"Photos - Immigration, Refugees and Citizenship Canada","Photos - Immigration, RÇfugiÇs et CitoyennetÇ Canada","Media, Indexes"
https://www.canada.ca/en/immigration-refugees-citizenship/news/social-media,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/medias-sociaux.html,News,Landing page,"Social media - Immigration, Refugees and Citizenship Canada",MÇdias sociaux Öˇ IRCC,Media; News releases; Archives; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/news/rss,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/rss.html,News,Landing page,"RSS Feeds - Immigration, Refugees and Citizenship Canada",Fils RSS,RSS; Feeds
https://www.canada.ca/en/immigration-refugees-citizenship/services/iran,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/iran.html,Iran,Landing page,"Situation in Iran: Temporary immigration, passport and citizenship measures",Temporary measures to support Iranian temporary residents in Canada and Canadian citizens and Canadian permanent residents in Iran,"Iran, special measures, temporary residents, Canadian citizens, permanent residents of Canada"
https://www.canada.ca/en/immigration-refugees-citizenship/services/earthquakes2023,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/tremblements-terre2023.html,Earthquakes,Landing page,"Earthquakes in Syria and TÅrkiye: Temporary immigration, passport and citizenship measures","Tremblements de terre en Syria et TÅrkiye : Mesures temporaires concernant l'immigration, les passeports et la citoyennetÇ","Syria, TÅrkiye, special measures, temporary residents, Canadian citizens, permanent residents of Canada"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports-usa,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens-etats-unis.html,Passport,Applying from the US,Canadian passports: Applying from the United States,Passeports canadiens : PrÇsenter une demande depuis les êtats-Unis,"passport, Canada, apply, renew, travel document, certified true copy, name change, gender identifier, special passport, diplomatic passport, lost passport, stolen passport, passport fraud, passport photo, forms, official travel, child safety, system lookout, processing times"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports-abroad,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens-etranger.html,Passport,Applying from abroad,Canadian passports: Applying from abroad,Passeports canadiens : PrÇsenter une demande depuis l'Çtranger,"passport, Canada, apply, renew, travel document, certified true copy, name change, gender identifier, special passport, diplomatic passport, lost passport, stolen passport, passport fraud, passport photo, forms, official travel, child safety, system lookout, processing times"
https://www.canada.ca/en/immigration-refugees-citizenship/services/application,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande.html,My application,Landing page,My application,Ma demande d?immigration ou de citoyennetÇ,Government On-Line; Applications; Work permits
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/register,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/inscription.html,My application,MyCIC account,Register for an IRCC secure account,S?inscrire Öˇ un compte sÇcurisÇ d?IRCC,"register, log in, sign in, ircc, application, how to register, gckey, banking sign in,"
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,My application,MyCIC account,Sign in to your IRCC secure account,,Government On-Line; Security
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/formulaires-demande-guides.html,My application,Application forms and guides,Find an IRCC application package or form,Trouver des formulaires de demande et des guides,Indexes; Applications; Forms; Fees; Receipts
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/pay-fees,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/payer-frais.html,My application,Fees,Pay your fees,Payer les frais,
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-delais-traitement.html,My application,Processing Times,Check processing times,VÇrifier les dÇlais de traitement,
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-etat.html,My application,Check application status,How to check your application status,VÇrifier l?Çtat de sa demande,Government On-Line; online applications
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/change-address,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/changement-adresse.html,My application,Change of address,Change my address - Immigration and citizenship,Changement d?adresse,Diplomatic missions; Visa; Points of service abroad; Applications
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/medical-police.html,My application,Medical exams and police certificates,Medical exams and police checks - Immigration and citizenship,Examens mÇdicaux et certificats de police,Government On-Line; Police checks; Medical exams
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police/medical-exams,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/medical-police/examens-medicaux.html,My application,Medical exams,Medical exams  - Immigration,Examens mÇdicaux,Medical examination; Medical practitioners; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police/police-certificates,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/medical-police/certificats-police.html,My application,Police certificates,About police certificates,Certificats de police,Medical screening; Designated medical practitioners; Criminal clearance checks; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada.html,Immigrate,Landing page,Immigrate to Canada,,
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/air-disaster-pp,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/catastrophes-aeriennes-politique-hors-canada.html,Immigrate,Air disaster,Outside-of-Canada families of Canadian victims of air disasters: About the public policy,catastrophes-aeriennes-politique-hors-canada,"public policy, temporary public policy, victims of air disasters, ET302, PS752"
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/hong-kong-residents-permanent-residence,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/residence-permanente-residents-hong-kong.html,Immigrate,Hong Kong PR pathway,Permanent residence pathways for Hong Kong residents: About the public policy,Voies d?accäs Öˇ la rÇsidence permanente pour les rÇsidents de Hong Kong : Ö propos de la politique d?intÇràt public,"permanent residence, PR, Hong Kong residents, public policy"
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/tr-pr-pathway,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/voie-dacces-rt-rp.html,Immigrate,Temporary resident to permanent resident pathway,Temporary public policies: Temporary resident to permanent resident pathway - About the program ,Politiques d?intÇràt public temporaires : voie d?accäs de la rÇsidence temporaire Öˇ la rÇsidence permanente - Ö propos du programme,"TR to PR Pathway, Pathway, essential worker, healthcare, graduates, PWGP, public policy "
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/atlantic-immigration,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/immigrer-canada/programme-immigration-atlantique.html,Immigrate,AIP,Atlantic Immigration Program,programme-immigration-atlantique,
