Page path,Opposite language page path,Topic,Sub topic,Page title,Opposite language page title,Keywords
https://www.canada.ca/en/immigration-refugees-citizenship,https://www.canada.ca/fr/immigration-refugies-citoyennete,Theme,Landing page,"Immigration, Refugees and Citizenship Canada",,Mandate; Government services; Immigration; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/news,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles,News,Landing page,"Newsroom - Immigration, Refugees and Citizenship Canada",,"Media, News releases, Speeches, Photographs, Archives, Indexes"
https://www.canada.ca/en/immigration-refugees-citizenship/news/newsletter,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/bulletin,News,Landing page,Newsletter,Bulletin,
https://www.canada.ca/en/immigration-refugees-citizenship/news/notices,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/avis,News,Landing page,"Notices - Immigration, Refugees and Citizenship Canada",Avis,
https://www.canada.ca/en/immigration-refugees-citizenship/news/video,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/video,News,Landing page,"Videos - Immigration, Refugees and Citizenship Canada",Video,
https://www.canada.ca/en/immigration-refugees-citizenship/news/photos,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/photos,News,Landing page,"Photos - Immigration, Refugees and Citizenship Canada","Photos - Immigration, RÇfugiÇs et CitoyennetÇ Canada","Media, Indexes"
https://www.canada.ca/en/immigration-refugees-citizenship/news/social-media,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/medias-sociaux,News,Landing page,"Social media - Immigration, Refugees and Citizenship Canada",MÇdias sociaux Öˇ IRCC,Media; News releases; Archives; Indexes
https://www.canada.ca/en/immigration-refugees-citizenship/news/rss,https://www.canada.ca/fr/immigration-refugies-citoyennete/nouvelles/rss,News,Landing page,"RSS Feeds - Immigration, Refugees and Citizenship Canada",Fils RSS,RSS; Feeds
https://www.canada.ca/en/immigration-refugees-citizenship/services/iran,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/iran,Iran,Landing page,"Situation in Iran: Temporary immigration, passport and citizenship measures",Temporary measures to support Iranian temporary residents in Canada and Canadian citizens and Canadian permanent residents in Iran,"Iran, special measures, temporary residents, Canadian citizens, permanent residents of Canada"
https://www.canada.ca/en/immigration-refugees-citizenship/services/earthquakes2023,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/tremblements-terre2023,Earthquakes,Landing page,"Earthquakes in Syria and TÅrkiye: Temporary immigration, passport and citizenship measures","Tremblements de terre en Syria et TÅrkiye : Mesures temporaires concernant l'immigration, les passeports et la citoyennetÇ","Syria, TÅrkiye, special measures, temporary residents, Canadian citizens, permanent residents of Canada"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports-usa,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens-etats-unis,Passport,Applying from the US,Canadian passports: Applying from the United States,Passeports canadiens : PrÇsenter une demande depuis les êtats-Unis,"passport, Canada, apply, renew, travel document, certified true copy, name change, gender identifier, special passport, diplomatic passport, lost passport, stolen passport, passport fraud, passport photo, forms, official travel, child safety, system lookout, processing times"
https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports-abroad,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens-etranger,Passport,Applying from abroad,Canadian passports: Applying from abroad,Passeports canadiens : PrÇsenter une demande depuis l'Çtranger,"passport, Canada, apply, renew, travel document, certified true copy, name change, gender identifier, special passport, diplomatic passport, lost passport, stolen passport, passport fraud, passport photo, forms, official travel, child safety, system lookout, processing times"
https://www.canada.ca/en/immigration-refugees-citizenship/services/application,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande,My application,Landing page,My application,Ma demande d?immigration ou de citoyennetÇ,Government On-Line; Applications; Work permits
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/register,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/inscription,My application,MyCIC account,Register for an IRCC secure account,S?inscrire Öˇ un compte sÇcurisÇ d?IRCC,"register, log in, sign in, ircc, application, how to register, gckey, banking sign in,"
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte,My application,MyCIC account,Sign in to your IRCC secure account,,Government On-Line; Security
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/formulaires-demande-guides,My application,Application forms and guides,Find an IRCC application package or form,Trouver des formulaires de demande et des guides,Indexes; Applications; Forms; Fees; Receipts
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/pay-fees,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/payer-frais,My application,Fees,Pay your fees,Payer les frais,
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-delais-traitement,My application,Processing Times,Check processing times,VÇrifier les dÇlais de traitement,
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/verifier-etat,My application,Check application status,How to check your application status,VÇrifier l?Çtat de sa demande,Government On-Line; online applications
